"City","Excess heat factor","RRfit","RRlow","RRhigh"
"Melbourne",-84.8,-3.99678813381837,-27.7874836182451,27.6318448715853
"Melbourne",-84.7,-3.9914767872036,-27.7505400900011,27.5806980562134
"Melbourne",-84.6,-3.98616515476994,-27.7135778261493,27.5295720061509
"Melbourne",-84.5,-3.98085324233545,-27.6765968951298,27.4784668346045
"Melbourne",-84.4,-3.97554105571951,-27.6395973655374,27.4273826545891
"Melbourne",-84.3,-3.97022860074276,-27.6025793061213,27.3763195789281
"Melbourne",-84.2,-3.96491588322715,-27.5655427857856,27.3252777202531
"Melbourne",-84.1,-3.95960290899591,-27.5284878735896,27.2742571910044
"Melbourne",-84,-3.95428968387355,-27.4914146387477,27.2232581034313
"Melbourne",-83.9,-3.94897621368588,-27.4543231506297,27.1722805695921
"Melbourne",-83.8,-3.94366250426003,-27.4172134787611,27.1213247013544
"Melbourne",-83.7,-3.93834856142437,-27.3800856928231,27.0703906103953
"Melbourne",-83.6,-3.93303439100858,-27.3429398626531,27.0194784082015
"Melbourne",-83.5,-3.92771999884368,-27.3057760582444,26.9685882060697
"Melbourne",-83.4,-3.9224053907619,-27.2685943497468,26.9177201151064
"Melbourne",-83.3,-3.91709057259682,-27.2313948074668,26.8668742462286
"Melbourne",-83.2,-3.91177555018327,-27.1941775018675,26.8160507101639
"Melbourne",-83.1,-3.90646032935742,-27.1569425035689,26.7652496174501
"Melbourne",-83,-3.9011449159567,-27.1196898833482,26.7144710784365
"Melbourne",-82.9,-3.89582931581984,-27.0824197121399,26.6637152032829
"Melbourne",-82.8,-3.89051353478685,-27.0451320610359,26.612982101961
"Melbourne",-82.7,-3.88519757869907,-27.0078270012859,26.5622718842535
"Melbourne",-82.6,-3.87988145339908,-26.9705046042974,26.511584659755
"Melbourne",-82.5,-3.87456516473079,-26.933164941636,26.4609205378722
"Melbourne",-82.4,-3.8692487185394,-26.8958080850253,26.4102796278237
"Melbourne",-82.3,-3.86393212067138,-26.8584341063475,26.3596620386405
"Melbourne",-82.2,-3.85861537697451,-26.8210430776434,26.3090678791663
"Melbourne",-82.1,-3.85329849329786,-26.7836350711125,26.2584972580575
"Melbourne",-82,-3.84798147549181,-26.7462101591132,26.2079502837834
"Melbourne",-81.9,-3.84266432940801,-26.7087684141629,26.1574270646267
"Melbourne",-81.8,-3.83734706089941,-26.6713099089387,26.1069277086833
"Melbourne",-81.7,-3.83202967582024,-26.6338347162767,26.056452323863
"Melbourne",-81.6,-3.82671218002606,-26.5963429091729,26.0060010178892
"Melbourne",-81.5,-3.82139457937368,-26.5588345607831,25.9555738982996
"Melbourne",-81.4,-3.81607687972124,-26.521309744423,25.905171072446
"Melbourne",-81.3,-3.81075908692815,-26.4837685335686,25.854792647495
"Melbourne",-81.2,-3.80544120685513,-26.4462110018561,25.8044387304277
"Melbourne",-81.1,-3.80012324536417,-26.4086372230823,25.7541094280403
"Melbourne",-81,-3.7948052083186,-26.3710472712046,25.703804846944
"Melbourne",-80.9,-3.78948710158298,-26.3334412203414,25.6535250935657
"Melbourne",-80.8,-3.7841689310232,-26.2958191447719,25.6032702741478
"Melbourne",-80.7,-3.77885070250646,-26.2581811189368,25.5530404947485
"Melbourne",-80.6,-3.77353242190124,-26.2205272174377,25.5028358612421
"Melbourne",-80.5,-3.76821409507728,-26.1828575150383,25.4526564793195
"Melbourne",-80.4,-3.76289572790567,-26.1451720866635,25.4025024544878
"Melbourne",-80.3,-3.75757732625874,-26.1074710074003,25.3523738920711
"Melbourne",-80.2,-3.75225889601017,-26.0697543524976,25.3022708972104
"Melbourne",-80.1,-3.7469404430349,-26.0320221973666,25.2521935748639
"Melbourne",-80,-3.74162197320914,-25.9942746175809,25.2021420298075
"Melbourne",-79.9,-3.73630349241046,-25.9565116888763,25.1521163666347
"Melbourne",-79.8,-3.73098500651768,-25.9187334871517,25.1021166897568
"Melbourne",-79.7,-3.72566652141091,-25.8809400884684,25.0521431034034
"Melbourne",-79.6,-3.72034804297157,-25.8431315690511,25.0021957116227
"Melbourne",-79.5,-3.71502957708237,-25.8053080052873,24.9522746182811
"Melbourne",-79.4,-3.70971112962732,-25.7674694737281,24.9023799270644
"Melbourne",-79.3,-3.70439270649172,-25.7296160510879,24.8525117414772
"Melbourne",-79.2,-3.69907431356216,-25.6917478142448,24.8026701648435
"Melbourne",-79.1,-3.69375595672652,-25.6538648402405,24.7528553003071
"Melbourne",-79,-3.68843764187398,-25.615967206281,24.7030672508314
"Melbourne",-78.9,-3.68311937489503,-25.5780549897359,24.6533061192001
"Melbourne",-78.8,-3.67780116168143,-25.5401282681396,24.603572008017
"Melbourne",-78.7,-3.67248300812623,-25.5021871191904,24.5538650197068
"Melbourne",-78.6,-3.66716492012381,-25.4642316207515,24.5041852565147
"Melbourne",-78.5,-3.6618469035698,-25.4262618508506,24.4545328205071
"Melbourne",-78.4,-3.65652896436116,-25.3882778876802,24.4049078135718
"Melbourne",-78.3,-3.65121110839612,-25.3502798095981,24.355310337418
"Melbourne",-78.2,-3.64589334157422,-25.3122676951269,24.3057404935768
"Melbourne",-78.1,-3.64057566979629,-25.2742416229547,24.2561983834014
"Melbourne",-78,-3.63525809896443,-25.236201671935,24.2066841080671
"Melbourne",-77.9,-3.62994063498208,-25.1981479210868,24.1571977685719
"Melbourne",-77.8,-3.62462328375391,-25.160080449595,24.1077394657366
"Melbourne",-77.7,-3.61930605118596,-25.1219993368102,24.0583093002051
"Melbourne",-77.6,-3.61398894318549,-25.0839046622491,24.0089073724444
"Melbourne",-77.5,-3.6086719656611,-25.0457965055945,23.9595337827454
"Melbourne",-77.4,-3.60335512452269,-25.0076749466956,23.9101886312224
"Melbourne",-77.3,-3.5980384256814,-24.9695400655681,23.8608720178141
"Melbourne",-77.2,-3.59272187504973,-24.931391942394,23.8115840422833
"Melbourne",-77.1,-3.58740547854142,-24.8932306575222,23.7623248042176
"Melbourne",-77,-3.58208924207151,-24.8550562914686,23.7130944030292
"Melbourne",-76.9,-3.57677317155637,-24.8168689249158,23.6638929379555
"Melbourne",-76.8,-3.57145727291363,-24.7786686387137,23.6147205080593
"Melbourne",-76.7,-3.56614155206222,-24.7404555138795,23.5655772122289
"Melbourne",-76.6,-3.56082601492236,-24.7022296315977,23.5164631491786
"Melbourne",-76.5,-3.55551066741556,-24.6639910732203,23.4673784174486
"Melbourne",-76.4,-3.55019551546465,-24.6257399202672,23.4183231154058
"Melbourne",-76.3,-3.54488056499371,-24.5874762544258,23.3692973412434
"Melbourne",-76.2,-3.53956582192814,-24.5492001575516,23.3203011929819
"Melbourne",-76.1,-3.53425129219462,-24.510911711668,23.2713347684686
"Melbourne",-76,-3.52893698172113,-24.4726109989669,23.2223981653785
"Melbourne",-75.9,-3.52362289643693,-24.4342981018082,23.1734914812143
"Melbourne",-75.8,-3.51830904227258,-24.3959731027203,23.1246148133064
"Melbourne",-75.7,-3.51299542515995,-24.3576360844003,23.0757682588138
"Melbourne",-75.6,-3.50768205103216,-24.3192871297139,23.0269519147237
"Melbourne",-75.5,-3.50236892582364,-24.2809263216955,22.9781658778523
"Melbourne",-75.4,-3.49705605547013,-24.2425537435487,22.9294102448447
"Melbourne",-75.3,-3.49174344590862,-24.204169478646,22.8806851121754
"Melbourne",-75.2,-3.48643110307745,-24.165773610529,22.8319905761485
"Melbourne",-75.1,-3.48111903291618,-24.1273662229086,22.7833267328976
"Melbourne",-75,-3.47580724136572,-24.0889473996655,22.734693678387
"Melbourne",-74.9,-3.47049573436824,-24.0505172248493,22.686091508411
"Melbourne",-74.8,-3.4651845178672,-24.0120757826799,22.6375203185947
"Melbourne",-74.7,-3.45987359780736,-23.9736231575465,22.588980204394
"Melbourne",-74.6,-3.45456298013477,-23.9351594340083,22.5404712610962
"Melbourne",-74.5,-3.44925267079674,-23.8966846967947,22.4919935838199
"Melbourne",-74.4,-3.44394267574193,-23.8581990308049,22.4435472675157
"Melbourne",-74.3,-3.43863300092022,-23.8197025211087,22.3951324069661
"Melbourne",-74.2,-3.43332365228284,-23.7811952529458,22.3467490967859
"Melbourne",-74.1,-3.42801463578226,-23.7426773117266,22.2983974314224
"Melbourne",-74,-3.42270595737226,-23.7041487830321,22.250077505156
"Melbourne",-73.9,-3.41739762300792,-23.6656097526138,22.2017894121002
"Melbourne",-73.8,-3.41208963864559,-23.6270603063942,22.1535332462017
"Melbourne",-73.7,-3.40678201024289,-23.5885005304663,22.1053091012412
"Melbourne",-73.6,-3.40147474375878,-23.5499305110945,22.0571170708332
"Melbourne",-73.5,-3.39616784515347,-23.511350334714,22.0089572484266
"Melbourne",-73.4,-3.39086132038846,-23.4727600879313,21.9608297273048
"Melbourne",-73.3,-3.38555517542655,-23.4341598575242,21.912734600586
"Melbourne",-73.2,-3.38024941623181,-23.3955497304417,21.8646719612235
"Melbourne",-73.1,-3.37494404876959,-23.3569297938047,21.8166419020061
"Melbourne",-73,-3.36963907900657,-23.3183001349053,21.7686445155583
"Melbourne",-72.9,-3.36433451291067,-23.2796608412074,21.7206798943404
"Melbourne",-72.8,-3.35903035645113,-23.2410120003468,21.6727481306492
"Melbourne",-72.7,-3.35372661559843,-23.202353700131,21.6248493166179
"Melbourne",-72.6,-3.34842329632439,-23.1636860285397,21.5769835442166
"Melbourne",-72.5,-3.34312040460206,-23.1250090737244,21.5291509052523
"Melbourne",-72.4,-3.33781794640584,-23.086322924009,21.4813514913698
"Melbourne",-72.3,-3.33251592771134,-23.0476276678894,21.4335853940513
"Melbourne",-72.2,-3.32721435449552,-23.0089233940342,21.3858527046172
"Melbourne",-72.1,-3.32191323273658,-22.9702101912842,21.3381535142259
"Melbourne",-72,-3.31661256841402,-22.9314881486526,21.2904879138746
"Melbourne",-71.9,-3.31131236750863,-22.8927573553254,21.2428559943993
"Melbourne",-71.8,-3.30601263600248,-22.8540179006613,21.1952578464752
"Melbourne",-71.7,-3.30071337987889,-22.8152698741918,21.1476935606169
"Melbourne",-71.6,-3.29541460512253,-22.776513365621,21.1001632271787
"Melbourne",-71.5,-3.29011631771928,-22.7377484648263,21.052666936355
"Melbourne",-71.4,-3.28481852365635,-22.6989752618579,21.0052047781805
"Melbourne",-71.3,-3.27952122892222,-22.6601938469391,20.9577768425306
"Melbourne",-71.2,-3.27422443950663,-22.6214043104667,20.9103832191214
"Melbourne",-71.1,-3.26892816140064,-22.5826067430102,20.8630239975106
"Melbourne",-71,-3.26363240059656,-22.5438012353131,20.815699267097
"Melbourne",-70.9,-3.25833716308799,-22.5049878782917,20.7684091171215
"Melbourne",-70.8,-3.2530424548698,-22.4661667630362,20.721153636667
"Melbourne",-70.7,-3.24774828193817,-22.4273379808103,20.6739329146589
"Melbourne",-70.6,-3.24245465029052,-22.3885016230513,20.626747039865
"Melbourne",-70.5,-3.23716156592557,-22.3496577813701,20.5795961008966
"Melbourne",-70.4,-3.23186903484333,-22.3108065475516,20.5324801862079
"Melbourne",-70.3,-3.22657706304507,-22.2719480135543,20.485399384097
"Melbourne",-70.2,-3.22128565653332,-22.233082271511,20.4383537827056
"Melbourne",-70.1,-3.21599482131194,-22.194209413728,20.3913434700199
"Melbourne",-70,-3.21070456338602,-22.155329532686,20.3443685338705
"Melbourne",-69.9,-3.20541488876196,-22.1164427210397,20.2974290619328
"Melbourne",-69.8,-3.20012580344741,-22.0775490716181,20.2505251417274
"Melbourne",-69.7,-3.1948373134513,-22.0386486774242,20.2036568606202
"Melbourne",-69.6,-3.18954942478386,-21.9997416316356,20.156824305823
"Melbourne",-69.5,-3.18426214345657,-21.960828027604,20.1100275643936
"Melbourne",-69.4,-3.1789754754822,-21.9219079588557,20.063266723236
"Melbourne",-69.3,-3.17368942687478,-21.8829815190914,20.0165418691009
"Melbourne",-69.2,-3.16840400364964,-21.8440488021864,19.9698530885863
"Melbourne",-69.1,-3.16311921182334,-21.8051099021905,19.9232004681368
"Melbourne",-69,-3.15783505741376,-21.7661649133283,19.8765840940453
"Melbourne",-68.9,-3.15255154644003,-21.7272139299989,19.8300040524521
"Melbourne",-68.8,-3.14726868492257,-21.6882570467763,19.7834604293459
"Melbourne",-68.7,-3.14198647888303,-21.6492943584092,19.7369533105638
"Melbourne",-68.6,-3.13670493434438,-21.6103259598214,19.6904827817917
"Melbourne",-68.5,-3.13142405733084,-21.5713519461112,19.6440489285648
"Melbourne",-68.4,-3.12614385386791,-21.5323724125522,19.5976518362676
"Melbourne",-68.3,-3.12086432998235,-21.4933874545927,19.5512915901344
"Melbourne",-68.2,-3.1155854917022,-21.4543971678564,19.5049682752494
"Melbourne",-68.1,-3.11030734505675,-21.4154016481417,19.4586819765475
"Melbourne",-68,-3.10502989607658,-21.3764009914223,19.4124327788141
"Melbourne",-67.9,-3.09975315079355,-21.3373952938472,19.3662207666854
"Melbourne",-67.8,-3.09447711524076,-21.2983846517403,19.3200460246494
"Melbourne",-67.7,-3.08920179545259,-21.259369161601,19.2739086370452
"Melbourne",-67.6,-3.08392719746469,-21.2203489201038,19.2278086880643
"Melbourne",-67.5,-3.07865332731398,-21.1813240240986,19.1817462617502
"Melbourne",-67.4,-3.07338019103863,-21.1422945706106,19.135721441999
"Melbourne",-67.3,-3.06810779467811,-21.1032606568406,19.0897343125598
"Melbourne",-67.2,-3.06283614427312,-21.0642223801644,19.0437849570349
"Melbourne",-67.1,-3.05756524586565,-21.0251798381335,18.9978734588801
"Melbourne",-67,-3.05229510549894,-20.986133128475,18.951999901405
"Melbourne",-66.9,-3.04702572921749,-20.9470823490912,18.9061643677734
"Melbourne",-66.8,-3.04175712306709,-20.9080275980601,18.8603669410037
"Melbourne",-66.7,-3.03648929309478,-20.8689689736353,18.814607703969
"Melbourne",-66.6,-3.03122224534885,-20.8299065742458,18.7688867393975
"Melbourne",-66.5,-3.02595598587887,-20.7908404984963,18.723204129873
"Melbourne",-66.4,-3.02069052073567,-20.7517708451671,18.677559957835
"Melbourne",-66.3,-3.01542585597133,-20.7126977132143,18.631954305579
"Melbourne",-66.2,-3.01016199763922,-20.6736212017693,18.586387255257
"Melbourne",-66.1,-3.00489895179391,-20.6345414101396,18.5408588888777
"Melbourne",-66,-2.99963672449132,-20.5954584378081,18.495369288307
"Melbourne",-65.9,-2.99437532178853,-20.5563723844335,18.4499185352681
"Melbourne",-65.8,-2.98911474974397,-20.5172833498503,18.4045067113419
"Melbourne",-65.7,-2.98385501441727,-20.4781914340685,18.3591338979673
"Melbourne",-65.6,-2.97859612186934,-20.4390967372741,18.3138001764416
"Melbourne",-65.5,-2.97333807816234,-20.3999993598288,18.2685056279208
"Melbourne",-65.4,-2.96808088935968,-20.36089940227,18.2232503334199
"Melbourne",-65.3,-2.96282456152607,-20.3217969653109,18.1780343738133
"Melbourne",-65.2,-2.95756910072742,-20.2826921498404,18.132857829835
"Melbourne",-65.1,-2.95231451303093,-20.2435850569233,18.087720782079
"Melbourne",-65,-2.94706080450503,-20.2044757878002,18.0426233109996
"Melbourne",-64.9,-2.94180798121944,-20.1653644438874,17.9975654969117
"Melbourne",-64.8,-2.93655604924509,-20.1262511267769,17.9525474199915
"Melbourne",-64.7,-2.93130501465421,-20.0871359382367,17.907569160276
"Melbourne",-64.6,-2.92605488352023,-20.0480189802104,17.8626307976643
"Melbourne",-64.5,-2.92080566191789,-20.0089003548176,17.8177324119173
"Melbourne",-64.4,-2.91555735592314,-19.9697801643533,17.772874082658
"Melbourne",-64.3,-2.91030997161319,-19.9306585112887,17.7280558893722
"Melbourne",-64.2,-2.90506351506652,-19.8915354982705,17.6832779114089
"Melbourne",-64.1,-2.89981799236283,-19.8524112281211,17.6385402279799
"Melbourne",-64,-2.8945734095831,-19.8132858038388,17.593842918161
"Melbourne",-63.9,-2.88932977280952,-19.7741593285976,17.5491860608918
"Melbourne",-63.8,-2.88408708812559,-19.7350319057471,17.5045697349762
"Melbourne",-63.7,-2.87884536161597,-19.6959036388128,17.4599940190828
"Melbourne",-63.6,-2.87360459936665,-19.6567746314955,17.4154589917451
"Melbourne",-63.5,-2.86836480746483,-19.6176449876721,17.3709647313617
"Melbourne",-63.4,-2.86312599199895,-19.5785148113949,17.3265113161973
"Melbourne",-63.3,-2.8578881590587,-19.5393842068919,17.2820988243821
"Melbourne",-63.2,-2.85265131473503,-19.5002532785666,17.2377273339128
"Melbourne",-63.1,-2.84741546512012,-19.4611221309981,17.1933969226527
"Melbourne",-63,-2.8421806163074,-19.4219908689413,17.149107668332
"Melbourne",-62.9,-2.83694677439152,-19.3828595973262,17.1048596485483
"Melbourne",-62.8,-2.83171394546843,-19.3437284212587,17.0606529407668
"Melbourne",-62.7,-2.82648213563524,-19.3045974460198,17.0164876223208
"Melbourne",-62.6,-2.82125135099037,-19.2654667770662,16.9723637704115
"Melbourne",-62.5,-2.81602159763346,-19.2263365200299,16.9282814621093
"Melbourne",-62.4,-2.81079288166536,-19.1872067807183,16.8842407743532
"Melbourne",-62.3,-2.8055652091882,-19.148077665114,16.8402417839518
"Melbourne",-62.2,-2.80033858630532,-19.1089492793752,16.796284567583
"Melbourne",-62.1,-2.79511301912132,-19.069821729835,16.7523692017951
"Melbourne",-62,-2.78988851374203,-19.030695123002,16.7084957630065
"Melbourne",-61.9,-2.78466507627451,-18.9915695655597,16.6646643275064
"Melbourne",-61.8,-2.77944271282704,-18.9524451643671,16.6208749714549
"Melbourne",-61.7,-2.77422142950918,-18.9133220264579,16.5771277708837
"Melbourne",-61.6,-2.76900123243169,-18.8742002590412,16.5334228016959
"Melbourne",-61.5,-2.76378212770656,-18.8350799695007,16.489760139667
"Melbourne",-61.4,-2.75856412144705,-18.7959612653954,16.4461398604445
"Melbourne",-61.3,-2.7533472197676,-18.756844254459,16.402562039549
"Melbourne",-61.2,-2.74813142878393,-18.7177290446001,16.359026752374
"Melbourne",-61.1,-2.74291675461297,-18.6786157439022,16.3155340741863
"Melbourne",-61,-2.73770320337288,-18.6395044606233,16.2720840801267
"Melbourne",-60.9,-2.73249078118303,-18.6003953031962,16.2286768452099
"Melbourne",-60.8,-2.72727949416407,-18.5612883802284,16.1853124443254
"Melbourne",-60.7,-2.72206934843783,-18.5221838005018,16.1419909522369
"Melbourne",-60.6,-2.71686035012738,-18.483081672973,16.0987124435838
"Melbourne",-60.5,-2.71165250535705,-18.4439821067728,16.0554769928808
"Melbourne",-60.4,-2.70644582025235,-18.4048852112066,16.0122846745182
"Melbourne",-60.3,-2.70124030094003,-18.3657910957539,15.9691355627628
"Melbourne",-60.2,-2.69603595354808,-18.3266998700686,15.9260297317578
"Melbourne",-60.1,-2.6908327842057,-18.2876116439786,15.8829672555232
"Melbourne",-60,-2.68563079904331,-18.2485265274862,15.8399482079562
"Melbourne",-59.9,-2.68043000419257,-18.2094446307673,15.7969726628317
"Melbourne",-59.8,-2.67523040578634,-18.1703660641722,15.7540406938025
"Melbourne",-59.7,-2.67003200995872,-18.1312909382246,15.7111523743994
"Melbourne",-59.6,-2.66483482284502,-18.0922193636225,15.6683077780321
"Melbourne",-59.5,-2.65963885058177,-18.0531514512373,15.625506977989
"Melbourne",-59.4,-2.65444409930672,-18.0140873121141,15.5827500474381
"Melbourne",-59.3,-2.64925057515885,-17.9750270574716,15.5400370594267
"Melbourne",-59.2,-2.64405828427832,-17.9359707987019,15.4973680868824
"Melbourne",-59.1,-2.63886723280655,-17.8969186473706,15.454743202613
"Melbourne",-59,-2.63367742688616,-17.8578707152165,15.4121624793068
"Melbourne",-58.9,-2.62848887266098,-17.8188271141518,15.3696259895336
"Melbourne",-58.8,-2.62330157627606,-17.7797879562615,15.3271338057441
"Melbourne",-58.7,-2.61811554387765,-17.740753353804,15.2846860002711
"Melbourne",-58.6,-2.61293078161324,-17.7017234192103,15.2422826453293
"Melbourne",-58.5,-2.6077472956315,-17.6626982650845,15.199923813016
"Melbourne",-58.4,-2.60256509208234,-17.6236780042034,15.157609575311
"Melbourne",-58.3,-2.59738417711686,-17.5846627495163,15.1153400040777
"Melbourne",-58.2,-2.59220455688738,-17.5456526141452,15.0731151710626
"Melbourne",-58.1,-2.58702623754741,-17.5066477113845,15.0309351478962
"Melbourne",-58,-2.5818492252517,-17.467648154701,14.9888000060931
"Melbourne",-57.9,-2.57667352615619,-17.4286540577337,14.9467098170527
"Melbourne",-57.8,-2.57149914641801,-17.3896655342937,14.9046646520591
"Melbourne",-57.7,-2.56632609219554,-17.350682698364,14.8626645822816
"Melbourne",-57.6,-2.5611543696483,-17.3117056640999,14.8207096787754
"Melbourne",-57.5,-2.55598398493708,-17.2727345458282,14.7788000124813
"Melbourne",-57.4,-2.55081494422383,-17.2337694580474,14.7369356542267
"Melbourne",-57.3,-2.54564725367172,-17.1948105154277,14.6951166747256
"Melbourne",-57.2,-2.54048091944511,-17.1558578328106,14.6533431445789
"Melbourne",-57.1,-2.53531594770958,-17.1169115252091,14.611615134275
"Melbourne",-57,-2.53015234463188,-17.0779717078074,14.5699327141901
"Melbourne",-56.9,-2.52499011637999,-17.0390384959607,14.5282959545883
"Melbourne",-56.8,-2.51982926912306,-17.0001120051952,14.4867049256223
"Melbourne",-56.7,-2.51466980903146,-16.961192351208,14.4451596973335
"Melbourne",-56.6,-2.50951174227674,-16.9222796498668,14.4036603396525
"Melbourne",-56.5,-2.50435507503166,-16.8833740172101,14.3622069223995
"Melbourne",-56.4,-2.49919981347015,-16.8444755694467,14.3207995152844
"Melbourne",-56.3,-2.49404596376738,-16.8055844229558,14.2794381879074
"Melbourne",-56.2,-2.48889353209966,-16.7667006942867,14.2381230097594
"Melbourne",-56.1,-2.48374252464452,-16.7278245001588,14.1968540502219
"Melbourne",-56,-2.47859294758066,-16.6889559574615,14.155631378568
"Melbourne",-55.9,-2.47344480708801,-16.650095183254,14.1144550639624
"Melbourne",-55.8,-2.46829810934766,-16.6112422947648,14.0733251754617
"Melbourne",-55.7,-2.46315286054187,-16.5723974093924,14.032241782015
"Melbourne",-55.6,-2.45800906685414,-16.5335606447043,13.9912049524639
"Melbourne",-55.5,-2.45286673446912,-16.4947321184374,13.9502147555434
"Melbourne",-55.4,-2.44772586957264,-16.4559119484974,13.9092712598816
"Melbourne",-55.3,-2.44258647835173,-16.4171002529591,13.8683745340007
"Melbourne",-55.2,-2.4374485669946,-16.3782971500662,13.8275246463168
"Melbourne",-55.1,-2.43231214169066,-16.3395027582306,13.7867216651406
"Melbourne",-55,-2.42717720863047,-16.3007171960329,13.7459656586778
"Melbourne",-54.9,-2.42204377400578,-16.261940582222,13.7052566950291
"Melbourne",-54.8,-2.41691184400955,-16.2231730357149,13.6645948421909
"Melbourne",-54.7,-2.41178142483587,-16.1844146755964,13.6239801680556
"Melbourne",-54.6,-2.40665252268005,-16.1456656211193,13.5834127404119
"Melbourne",-54.5,-2.40152514373856,-16.106925991704,13.5428926269449
"Melbourne",-54.4,-2.39639929420903,-16.0681959069383,13.5024198952372
"Melbourne",-54.3,-2.3912749802903,-16.0294754865773,13.4619946127684
"Melbourne",-54.2,-2.38615220818237,-15.9907648505433,13.4216168469159
"Melbourne",-54.1,-2.3810309840864,-15.9520641189255,13.3812866649554
"Melbourne",-54,-2.37591131420473,-15.9133734119799,13.3410041340609
"Melbourne",-53.9,-2.37079320474088,-15.8746928501291,13.3007693213052
"Melbourne",-53.8,-2.36567666189954,-15.8360225539621,13.2605822936604
"Melbourne",-53.7,-2.36056169188654,-15.7973626442342,13.220443117998
"Melbourne",-53.6,-2.35544830090895,-15.7587132418668,13.1803518610897
"Melbourne",-53.5,-2.35033649517491,-15.720074467947,13.140308589607
"Melbourne",-53.4,-2.3452262808938,-15.6814464437278,13.1003133701224
"Melbourne",-53.3,-2.34011766427614,-15.6428292906276,13.0603662691094
"Melbourne",-53.2,-2.33501065153362,-15.6042231302301,13.0204673529426
"Melbourne",-53.1,-2.32990524887908,-15.5656280842842,12.9806166878984
"Melbourne",-53,-2.32480146252655,-15.5270442747037,12.9408143401554
"Melbourne",-52.9,-2.31969929869119,-15.4884718235671,12.9010603757945
"Melbourne",-52.8,-2.31459876358935,-15.4499108531175,12.8613548607996
"Melbourne",-52.7,-2.30949986343851,-15.4113614857623,12.8216978610574
"Melbourne",-52.6,-2.30440260445733,-15.3728238440731,12.7820894423583
"Melbourne",-52.5,-2.29930699286562,-15.3342980507853,12.7425296703968
"Melbourne",-52.4,-2.29421303488435,-15.2957842287981,12.7030186107714
"Melbourne",-52.3,-2.28912073673565,-15.2572825011743,12.6635563289852
"Melbourne",-52.2,-2.28403010464278,-15.21879299114,12.6241428904463
"Melbourne",-52.1,-2.27894114483018,-15.1803158220842,12.5847783604682
"Melbourne",-52,-2.27385386352343,-15.141851117559,12.5454628042701
"Melbourne",-51.9,-2.26876826694928,-15.1033990012792,12.5061962869771
"Melbourne",-51.8,-2.26368436133559,-15.0649595971218,12.4669788736209
"Melbourne",-51.7,-2.25860215291142,-15.0265330291264,12.4278106291399
"Melbourne",-51.6,-2.25352164790693,-14.9881194214943,12.3886916183796
"Melbourne",-51.5,-2.24844285255347,-14.9497188985887,12.3496219060932
"Melbourne",-51.4,-2.24336577308349,-14.9113315849344,12.3106015569415
"Melbourne",-51.3,-2.23829041573063,-14.8729576052175,12.2716306354936
"Melbourne",-51.2,-2.23321678672965,-14.8345970842853,12.2327092062275
"Melbourne",-51.1,-2.22814489231645,-14.7962501471459,12.1938373335297
"Melbourne",-51,-2.22307473872809,-14.757916918968,12.1550150816963
"Melbourne",-50.9,-2.21800633220276,-14.7195975250808,12.1162425149331
"Melbourne",-50.8,-2.21293967897978,-14.6812920909736,12.0775196973557
"Melbourne",-50.7,-2.20787478529961,-14.6430007422957,12.0388466929905
